suite_name	timestamp	seed	model_name	experiment_id	dataset_name	evaluator_name	method_id	display_name	run_name	train_subset	val_subset	metrics_path	predictions_path	diagnostics_path	log_path
c1_main_results	20260325_075310	42	qwen2_vl	naturalbench_ret	naturalbench_ret	naturalbench_group	zero_shot	Zero-shot	c1_main_results_naturalbench_ret_seed42_zero_shot_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_ret/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_ret/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_zero_shot_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_zero_shot_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_zero_shot_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_zero_shot_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	naturalbench_ret	naturalbench_ret	naturalbench_group	sav	SAV	c1_main_results_naturalbench_ret_seed42_sav_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_ret/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_ret/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_sav_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_sav_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_sav_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_sav_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	naturalbench_ret	naturalbench_ret	naturalbench_group	rsev2	RSEv2	c1_main_results_naturalbench_ret_seed42_rsev2_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_ret/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_ret/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_rsev2_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_rsev2_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_rsev2_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_naturalbench_ret_seed42_rsev2_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	naturalbench_vqa	naturalbench_vqa	raw	zero_shot	Zero-shot	c1_main_results_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	naturalbench_vqa	naturalbench_vqa	raw	sav	SAV	c1_main_results_naturalbench_vqa_seed42_sav_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_sav_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_sav_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_sav_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_sav_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	naturalbench_vqa	naturalbench_vqa	raw	rsev2	RSEv2	c1_main_results_naturalbench_vqa_seed42_rsev2_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_rsev2_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_rsev2_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_rsev2_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_naturalbench_vqa_seed42_rsev2_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	sugarcrepe	sugarcrepe	pair	zero_shot	Zero-shot	c1_main_results_sugarcrepe_seed42_zero_shot_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/sugarcrepe/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/sugarcrepe/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_zero_shot_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_zero_shot_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_zero_shot_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_zero_shot_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	sugarcrepe	sugarcrepe	pair	sav	SAV	c1_main_results_sugarcrepe_seed42_sav_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/sugarcrepe/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/sugarcrepe/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_sav_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_sav_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_sav_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_sav_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	sugarcrepe	sugarcrepe	pair	rsev2	RSEv2	c1_main_results_sugarcrepe_seed42_rsev2_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/sugarcrepe/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/sugarcrepe/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_rsev2_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_rsev2_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_rsev2_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_sugarcrepe_seed42_rsev2_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	pets_small	pets	raw	zero_shot	Zero-shot	c1_main_results_pets_small_seed42_zero_shot_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/pets_small/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/pets_small/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_zero_shot_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_zero_shot_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_zero_shot_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_zero_shot_qwen2_vl_20260325_075310.log
c1_main_results	20260325_075310	42	qwen2_vl	pets_small	pets	raw	sav	SAV	c1_main_results_pets_small_seed42_sav_qwen2_vl_20260325_075310	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/pets_small/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260325_075310_c1_main_results/seed_42/pets_small/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_sav_qwen2_vl_20260325_075310.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_sav_qwen2_vl_20260325_075310.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_sav_qwen2_vl_20260325_075310.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260325_075310_c1_main_results/c1_main_results_pets_small_seed42_sav_qwen2_vl_20260325_075310.log
